Boston College Eagles,mightywalrus
Clemson Tigers,surferdude.
Duke Blue Devils,alwaysblame2k
Florida State Seminoles,billythekid1701
Georgia Tech Yellow Jackets,sinister7252
Howard Bison,.coachrice
Louisville Cardinals,randy_wilbur
Miami (FL) Hurricanes,ppatrick4391
North Carolina Tar Heels,
North Carolina State Wolfpack,itsyaboyredneck
Notre Dame Fighting Irish,crownebeachx9410
Pittsburgh Panthers,simpnormie
Syracuse Orange,jtrain42
Virginia Cavaliers,studiousbroccoli
Virginia Tech Hokies,thehozzler
Wake Forest Demon Deacons,
Cincinnati Bearcats,itshazyel
Illinois Fighting Illini,illini.ghost
Indiana Hoosiers,snipinsexton
Iowa Hawkeyes,
Maryland Terrapins,zachle
Michigan Wolverines,tomdog2222
Michigan State Spartans,
Minnesota Golden Gophers,dsleep
Nebraska Cornhuskers,jlamonster14
Northwestern Wildcats,testy68gd
Ohio State Buckeyes,doomhammer900
Penn State Nittany Lions,j_trap17
Purdue Boilermakers,bnoonan
Rutgers Scarlet Knights,
Western Kentucky Hilltoppers,bmueller24
Wisconsin Badgers,davesport5
Alabama Crimson Tide,tofu_soybean
Arkansas Razorbacks,bfallen
Auburn Tigers,danielw3665
Charlotte 49ers,altpersonas
Florida Gators,burritohour0999
Georgia Bulldogs,dogwoodmaple
Kentucky Wildcats,chimaera717
LSU Tigers,ak41.
Mississippi State Bulldogs,highness._.
Missouri Tigers,splat2994
Ole Miss Rebels,
South Carolina Gamecocks,jicem
Tennessee Volunteers,btownbrelooms
Texas A&M Aggies,badger9320
Tulane Green Wave,coachcrom
Vanderbilt Commodores,politicsranting
Alaska Nanooks,
Arizona Wildcats,umbreonssecret
Arizona State Sun Devils,111111111111111114111111111111
California Golden Bears,bomas99
Colorado Buffaloes,danman4509
Gonzaga Bulldogs,pcthree9
Hawaii Rainbow Warriors,walter5857
Oregon Ducks,buckwild9
Oregon State Beavers,yeethaw69
Saint Mary's Gaels,mcrev73
Stanford Cardinal,leonmoncadar
UCLA Bruins,jenmarz
USC Trojans,pokecraft
Utah Runnin' Utes,josephisntreal
Washington Huskies,avdrav
Washington State Cougars,
BYU Cougars,
Baylor Bears,kdub21
Iowa State Cyclones,fnordypsyduck
Houston Cougars,
Kansas Jayhawks,.hkd
Kansas State Wildcats,coltfalcon
North Texas Mean Green,bigplayj1220
Northern Iowa Panthers,we4cyclones
Oklahoma Sooners,timduncan21
Oklahoma State Cowboys,
SMU Mustangs,
TCU Horned Frogs,
Texas Longhorns,mattdamoon
Texas Tech Red Raiders,jacob_jacob_jacob
UTEP Miners,willidr25
West Virginia Mountaineers,zachstal
Butler Bulldogs,aaronrt7
Connecticut Huskies,
Creighton Bluejays,mrgagman
DePaul Blue Demons,kyletraore
Lehigh Mountain Hawks,potkoooo
Georgetown Hoyas,ixkrmz
Marquette Golden Eagles,southbydeepsouth
Massachusetts Minutemen,saket23
Providence Friars,derrickwhiite
Seton Hall Pirates,gregw
Saint Louis Billikens,krussbuster
Saint Joseph's Hawks,irishman178
Seton Hall Pirates,gregw
St. John's Red Storm,jarrett.sicem
Villanova Wildcats,jakepu
William & Mary Tribe,
Xavier Musketeers,softwood1
Army Black Knights,
Charleston Cougars,57west
Duquesne Dukes,century_1407
Drake Bulldogs,ajleporte
East Carolina Pirates,
FAU Owls,
Florida International Panthers,
Illinois State Redbirds,big.p0154
Loyola-Chicago Ramblers,priestofgabe
Memphis Tigers,splat2994
Navy Midshipmen,
Rice Owls,lumosityfan
UCF Knights,florida_man2000
USF Bulls,zyrok12
VCU Rams,sheeeed
Wichita State Shockers,
Air Force Falcons,texasfm2971
Boise State Broncos,rplez
Colorado State Rams,
Eastern Washington Eagles,inatro
Fresno State Bulldogs,salutetfierte
Nevada Wolf Pack,aztecviking.
New Mexico Lobos,
Northern Arizona Lumberjacks,
Pepperdine Waves,kingben214
Portland State Vikings,
San Diego State Aztecs,lostmybrain.
South Dakota State Jackrabbits,njfgames
Wyoming Cowboys,mia02775
UNLV Runnin' Rebels,redrock1
UTSA Roadrunners,hummuslover2016
Utah State Aggies,
